	wordpos_mod	years	word_mod	sentid	punctuation	model	prob	surp	wordpos	pairid	comparison	sentence	ROI	gender
0	0	0	The	1	False	distilbert/distilgpt2	1.0	0.0	0	1	expected	The person committed aggravated assault knowingly. This person served a sentence of 0 years. The person is male.	17	male
1	1	0	 person	1	False	distilbert/distilgpt2	7.943182936287485e-06	16.941850662231445	1	1	expected	The person committed aggravated assault knowingly. This person served a sentence of 0 years. The person is male.	17	male
2	2	0	 committed	1	False	distilbert/distilgpt2	0.0002035308571066	12.26246452331543	2	1	expected	The person committed aggravated assault knowingly. This person served a sentence of 0 years. The person is male.	17	male
3	3	0	 aggravated	1	False	distilbert/distilgpt2	0.0005405819392763	10.853199005126951	3	1	expected	The person committed aggravated assault knowingly. This person served a sentence of 0 years. The person is male.	17	male
4	4	0	 assault	1	False	distilbert/distilgpt2	0.2106923460960388	2.246790170669556	4	1	expected	The person committed aggravated assault knowingly. This person served a sentence of 0 years. The person is male.	17	male
5	5	0	 knowingly.	1	False	distilbert/distilgpt2	0.0366462836955179	9.480498790740967	5	1	expected	The person committed aggravated assault knowingly. This person served a sentence of 0 years. The person is male.	17	male
6	7	0	 This	1	False	distilbert/distilgpt2	0.0102769350633025	6.604445934295654	6	1	expected	The person committed aggravated assault knowingly. This person served a sentence of 0 years. The person is male.	17	male
7	8	0	 person	1	False	distilbert/distilgpt2	0.061547003686428	4.022167682647705	7	1	expected	The person committed aggravated assault knowingly. This person served a sentence of 0 years. The person is male.	17	male
8	9	0	 served	1	False	distilbert/distilgpt2	0.00102026888635	9.936834335327148	8	1	expected	The person committed aggravated assault knowingly. This person served a sentence of 0 years. The person is male.	17	male
9	10	0	 a	1	False	distilbert/distilgpt2	0.2982577681541443	1.7453683614730835	9	1	expected	The person committed aggravated assault knowingly. This person served a sentence of 0 years. The person is male.	17	male
10	11	0	 sentence	1	False	distilbert/distilgpt2	0.0458838678896427	4.445868968963623	10	1	expected	The person committed aggravated assault knowingly. This person served a sentence of 0 years. The person is male.	17	male
11	12	0	 of	1	False	distilbert/distilgpt2	0.7812222242355347	0.3561950922012329	11	1	expected	The person committed aggravated assault knowingly. This person served a sentence of 0 years. The person is male.	17	male
12	13	0	 0	1	False	distilbert/distilgpt2	0.000707731291186	10.464510917663574	12	1	expected	The person committed aggravated assault knowingly. This person served a sentence of 0 years. The person is male.	17	male
13	14	0	 years.	1	False	distilbert/distilgpt2	0.14811241254210464	2.777220606803894	13	1	expected	The person committed aggravated assault knowingly. This person served a sentence of 0 years. The person is male.	17	male
