	wordpos_mod	years	word_mod	sentid	punctuation	model	prob	surp	wordpos	pairid	comparison	sentence	ROI	gender
0	0	0	The	1	False	distilbert/distilgpt2	1.0	0.0	0	1	expected	The person is male. The person committed aggravated assault knowingly. This person should serve a sentence of 0 years.	17	male
1	1	0	 person	1	False	distilbert/distilgpt2	7.943182936287485e-06	16.941850662231445	1	1	expected	The person is male. The person committed aggravated assault knowingly. This person should serve a sentence of 0 years.	17	male
2	2	0	 is	1	False	distilbert/distilgpt2	0.0556845553219318	4.166578769683838	2	1	expected	The person is male. The person committed aggravated assault knowingly. This person should serve a sentence of 0 years.	17	male
3	3	0	 male.	1	False	distilbert/distilgpt2	0.1414898359798826	6.113296449184419	3	1	expected	The person is male. The person committed aggravated assault knowingly. This person should serve a sentence of 0 years.	17	male
4	5	0	 The	1	False	distilbert/distilgpt2	0.0736611858010292	3.762951374053955	4	1	expected	The person is male. The person committed aggravated assault knowingly. This person should serve a sentence of 0 years.	17	male
5	6	0	 person	1	False	distilbert/distilgpt2	0.2659720778465271	1.9106534719467163	5	1	expected	The person is male. The person committed aggravated assault knowingly. This person should serve a sentence of 0 years.	17	male
6	7	0	 committed	1	False	distilbert/distilgpt2	1.9705574231920764e-05	15.631036758422852	6	1	expected	The person is male. The person committed aggravated assault knowingly. This person should serve a sentence of 0 years.	17	male
7	8	0	 aggravated	1	False	distilbert/distilgpt2	0.0001562236284371	12.644099235534668	7	1	expected	The person is male. The person committed aggravated assault knowingly. This person should serve a sentence of 0 years.	17	male
8	9	0	 assault	1	False	distilbert/distilgpt2	0.2906407713890075	1.7826910018920898	8	1	expected	The person is male. The person committed aggravated assault knowingly. This person should serve a sentence of 0 years.	17	male
9	10	0	 knowingly.	1	False	distilbert/distilgpt2	0.11166182070519425	8.486324787139893	9	1	expected	The person is male. The person committed aggravated assault knowingly. This person should serve a sentence of 0 years.	17	male
